Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung,Treffer Spanisch,Treffer Deutsch
s,Portugal,-,-,-,Portugal,-,0/0 11-02-24,1/2 11-02-24
s,Rumänien,-,-,-,Rumania,-,0/0 11-02-24,1/2 11-02-24
s,Schweden,-,-,-,Suecia,-,0/0 11-02-24,0/0 11-02-24
-,Schwede,Schwedin,-,-in,Sueco(a),-,1/2 14-02-25,0/0 11-02-24
s,Slowakei,-,-,-,Eslovaquia,-,0/0 11-02-24,1/2 11-02-24
-,Slowake,Slowakin,-,-in,Eslovaco(a),-,0/0 11-02-24,0/0 11-02-24
s,Slowenien,-,-,-,Eslovenia,-,1/2 11-02-24,0/0 11-02-24
-,Slowene,Slowenin,-,-in,Esloveno(a),-,0/0 11-02-24,0/0 11-02-24
s,Tschechien,-,-,-,Chequia,-,0/0 11-02-24,0/0 11-02-24
s,Ungarn,-,-,-,Hungría,-,0/0 11-02-24,0/0 11-02-24
-,Ungar,Ungarin,-,-in,Húngaro(a),-,0/0 11-02-24,0/0 11-02-24
s,Zypern,-,-,-,Chipre,Idioma,1/2 11-02-24,0/0 11-02-24
-,Zypriot,Zypriotin,-,-in,Chipriota,-,0/0 11-02-24,0/0 11-02-24
s,Chinesish,-,-,-,Chino,-,1/1 14-02-25,1/4 15-02-25
-,Chinese,Chinesin,-,-in,Chino(a),-,1/1 15-02-25,1/1 11-02-24
s,Russisch,-,-,-,Ruso,Idioma,0/0 11-02-24,1/2 15-02-25
-,Russe,Russin,-,-in,Ruso(a),-,0/0 11-02-24,0/0 11-02-24
